image_path,player_name,height_cm,kp0,kp1,kp2,kp3,kp4,kp5,kp6,kp7,kp8,kp9,kp10,kp11,kp12,kp13,kp14,kp15,kp16,kp17,kp18,kp19,kp20,kp21,kp22,kp23,kp24,kp25,kp26,kp27,kp28,kp29,kp30,kp31,kp32,kp33,kp34,kp35,kp36,kp37,kp38,kp39,kp40,kp41,kp42,kp43,kp44,kp45,kp46,kp47,kp48,kp49,kp50,label,new_label
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco26.jpg,alan franco,172,64.22956,50.25752,1.0,69.98069,38.747425,1.0,56.880886,39.706596,1.0,76.370834,43.22357,1.0,48.893204,45.141922,1.0,92.66572,103.33184,1.0,31.639801,102.37267,1.0,109.2801,158.00479,1.0,17.581476,152.88919,1.0,100.6534,215.55527,1.0,27.805712,210.75938,1.0,81.16345,219.39197,1.0,47.295662,213.95663,1.0,75.73183,254.24199,1.0,51.44926,254.24199,1.0,75.73183,254.24199,1.0,51.129753,254.24199,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco34.jpg,alan franco,172,142.47609,63.59114,1.0,148.87056,52.725525,1.0,136.72105,53.0451,1.0,161.02005,57.51918,1.0,130.64632,58.47791,1.0,179.56403,112.48641,1.0,116.578476,120.15626,1.0,193.63187,171.60815,1.0,103.78953,189.18488,1.0,198.42773,230.72987,1.0,98.35423,223.37961,1.0,169.33287,239.9976,1.0,128.08853,240.31718,1.0,168.69344,252.14154,1.0,131.60548,252.14154,1.0,170.29202,252.14154,1.0,127.44908,252.14154,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco35.jpg,alan franco,172,174.94667,40.629986,1.0,179.7303,32.635555,1.0,170.48195,32.955334,1.0,188.34084,36.79266,1.0,165.69832,37.11244,1.0,199.82156,77.084595,1.0,156.76888,82.201035,1.0,213.21571,129.84785,1.0,144.33144,144.23782,1.0,213.21571,170.77933,1.0,139.5478,203.07683,1.0,195.03792,188.68687,1.0,167.29286,191.88464,1.0,186.74629,255.20055,1.0,168.5685,255.20055,1.0,188.65974,255.20055,1.0,167.29286,246.56656,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco42.jpg,alan franco,172,126.57095,65.10476,1.0,137.4426,53.905624,1.0,117.617836,53.905624,1.0,149.91301,62.544956,1.0,106.426445,61.905003,1.0,173.57481,114.38095,1.0,87.56094,116.62079,1.0,190.52179,180.61586,1.0,68.69545,182.21574,1.0,198.19589,240.45125,1.0,56.544792,244.29095,1.0,159.18588,243.97098,1.0,102.90915,253.25024,1.0,208.10828,253.25024,1.0,53.347248,253.25024,1.0,167.49948,253.25024,1.0,94.27578,253.25024,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Alexander Dom├¡nguez/Alexander Dom├¡nguez12.jpg,alexander dom├¡nguez,190,119.54744,36.440987,1.0,119.22804,31.00512,1.0,113.79857,31.00512,1.0,117.63115,32.92366,1.0,96.87138,35.16196,1.0,118.2699,76.73035,1.0,67.168976,77.369865,1.0,131.36453,138.44342,1.0,51.51931,139.4027,1.0,149.88861,188.00574,1.0,41.937885,204.31335,1.0,109.966,204.63309,1.0,78.027916,204.31335,1.0,110.60477,249.39906,1.0,78.66668,249.39906,1.0,113.479195,228.2951,1.0,78.3473,240.76562,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado10.jpg,ayrton preciado,179,176.84981,58.158726,1.0,186.4346,51.76479,1.0,168.54298,48.56782,1.0,196.3389,62.63448,1.0,155.76324,57.51933,1.0,210.07712,109.62992,1.0,123.17492,96.20265,1.0,233.08066,140.9602,1.0,67.58308,147.67384,1.0,212.95258,208.73593,1.0,99.21292,157.58444,1.0,173.65488,242.3041,1.0,119.97999,245.50108,1.0,172.6964,254.45258,1.0,120.29948,254.45258,1.0,233.08066,135.84506,1.0,105.92228,254.45258,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado4.jpg,ayrton preciado,179,140.11331,67.190735,1.0,149.37442,58.552204,1.0,136.91982,61.431717,1.0,167.89664,69.43035,1.0,134.36504,70.070244,1.0,191.84781,120.621635,1.0,123.50717,120.3017,1.0,223.78265,184.61073,1.0,115.20411,168.61348,1.0,210.37001,218.20502,1.0,102.74951,200.28809,1.0,176.19972,239.32143,1.0,133.08763,238.3616,1.0,216.1183,253.39903,1.0,87.101425,253.39903,1.0,179.71254,226.5236,1.0,134.04568,253.39903,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Djorkaeff Reasco/Djorkaeff Reasco11.jpg,djorkaeff reasco,189,136.14784,27.588522,1.0,143.82368,23.114092,1.0,129.43146,23.114092,1.0,152.45903,27.908125,1.0,120.15648,27.588522,1.0,171.009,62.74477,1.0,96.80909,62.425163,1.0,185.72107,101.41664,1.0,83.69617,102.375435,1.0,166.2116,133.69646,1.0,100.64702,134.65526,1.0,155.01765,137.21208,1.0,113.4401,136.89247,1.0,161.4142,181.6368,1.0,105.44442,180.67796,1.0,166.2116,229.25754,1.0,100.64702,229.5771,1.0,full_body,full_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Djorkaeff Reasco/Djorkaeff Reasco13.jpg,djorkaeff reasco,189,130.73734,69.9994,1.0,135.52426,61.363083,1.0,126.26954,61.363083,1.0,141.58768,61.68295,1.0,119.88698,60.72336,1.0,139.35379,95.90834,1.0,111.90878,101.346016,1.0,131.37558,180.03242,1.0,109.99402,194.42628,1.0,132.6521,246.24416,1.0,130.73734,244.00511,1.0,140.6303,242.08594,1.0,114.46181,243.36539,1.0,147.01286,255.20033,1.0,134.88599,255.20033,1.0,122.44001,245.28456,1.0,108.07925,255.20033,1.0,lower_cut,partial_body
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Djorkaeff Reasco/Djorkaeff Reasco32.jpg,djorkaeff reasco,189,137.39818,49.679325,1.0,136.75926,45.205376,1.0,132.60626,45.84451,1.0,138.03711,49.35976,1.0,119.82781,49.679325,1.0,144.10687,77.48174,1.0,96.18766,77.801315,1.0,154.6491,105.9233,1.0,84.68706,111.35596,1.0,160.71886,131.8083,1.0,101.29905,132.12788,1.0,139.95387,139.7975,1.0,112.480194,140.43665,1.0,147.94041,186.77402,1.0,128.77274,186.77402,1.0,147.62094,213.29816,1.0,146.34311,225.7613,1.0,full_body,full_body
