image_path,player_name,height_cm,kp0,kp1,kp2,kp3,kp4,kp5,kp6,kp7,kp8,kp9,kp10,kp11,kp12,kp13,kp14,kp15,kp16,kp17,kp18,kp19,kp20,kp21,kp22,kp23,kp24,kp25,kp26,kp27,kp28,kp29,kp30,kp31,kp32,kp33,kp34,kp35,kp36,kp37,kp38,kp39,kp40,kp41,kp42,kp43,kp44,kp45,kp46,kp47,kp48,kp49,kp50,label
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco26.jpg,alan franco,172,64.22956,50.25752,1.0,69.98069,38.747425,1.0,56.880886,39.706596,1.0,76.370834,43.22357,1.0,48.893204,45.141922,1.0,92.66572,103.33184,1.0,31.639801,102.37267,1.0,109.2801,158.00479,1.0,17.581476,152.88919,1.0,100.6534,215.55527,1.0,27.805712,210.75938,1.0,81.16345,219.39197,1.0,47.295662,213.95663,1.0,75.73183,254.24199,1.0,51.44926,254.24199,1.0,75.73183,254.24199,1.0,51.129753,254.24199,1.0,lower_cut
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco34.jpg,alan franco,172,142.47609,63.59114,1.0,148.87056,52.725525,1.0,136.72105,53.0451,1.0,161.02005,57.51918,1.0,130.64632,58.47791,1.0,179.56403,112.48641,1.0,116.578476,120.15626,1.0,193.63187,171.60815,1.0,103.78953,189.18488,1.0,198.42773,230.72987,1.0,98.35423,223.37961,1.0,169.33287,239.9976,1.0,128.08853,240.31718,1.0,168.69344,252.14154,1.0,131.60548,252.14154,1.0,170.29202,252.14154,1.0,127.44908,252.14154,1.0,lower_cut
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco35.jpg,alan franco,172,174.94667,40.629986,1.0,179.7303,32.635555,1.0,170.48195,32.955334,1.0,188.34084,36.79266,1.0,165.69832,37.11244,1.0,199.82156,77.084595,1.0,156.76888,82.201035,1.0,213.21571,129.84785,1.0,144.33144,144.23782,1.0,213.21571,170.77933,1.0,139.5478,203.07683,1.0,195.03792,188.68687,1.0,167.29286,191.88464,1.0,186.74629,255.20055,1.0,168.5685,255.20055,1.0,188.65974,255.20055,1.0,167.29286,246.56656,1.0,lower_cut
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco39.jpg,alan franco,172,121.036,85.184166,1.0,116.24013,81.67522,1.0,114.002045,81.67522,1.0,119.43737,81.67522,1.0,111.76396,81.67522,1.0,120.71628,91.24509,1.0,110.48507,91.24509,1.0,123.913536,117.083755,1.0,108.886444,115.169785,1.0,123.5938,141.64644,1.0,123.27408,141.32745,1.0,119.43737,90.2881,1.0,112.40341,90.926094,1.0,110.48507,115.488785,1.0,109.52589,115.488785,1.0,123.27408,144.19841,1.0,116.24013,142.28442,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Alan Franco/Alan Franco42.jpg,alan franco,172,126.57095,65.10476,1.0,137.4426,53.905624,1.0,117.617836,53.905624,1.0,149.91301,62.544956,1.0,106.426445,61.905003,1.0,173.57481,114.38095,1.0,87.56094,116.62079,1.0,190.52179,180.61586,1.0,68.69545,182.21574,1.0,198.19589,240.45125,1.0,56.544792,244.29095,1.0,159.18588,243.97098,1.0,102.90915,253.25024,1.0,208.10828,253.25024,1.0,53.347248,253.25024,1.0,167.49948,253.25024,1.0,94.27578,253.25024,1.0,lower_cut
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Alexander Dom├¡nguez/Alexander Dom├¡nguez12.jpg,alexander dom├¡nguez,190,119.54744,36.440987,1.0,119.22804,31.00512,1.0,113.79857,31.00512,1.0,117.63115,32.92366,1.0,96.87138,35.16196,1.0,118.2699,76.73035,1.0,67.168976,77.369865,1.0,131.36453,138.44342,1.0,51.51931,139.4027,1.0,149.88861,188.00574,1.0,41.937885,204.31335,1.0,109.966,204.63309,1.0,78.027916,204.31335,1.0,110.60477,249.39906,1.0,78.66668,249.39906,1.0,113.479195,228.2951,1.0,78.3473,240.76562,1.0,lower_cut
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Alexander Dom├¡nguez/Alexander Dom├¡nguez35.jpg,alexander dom├¡nguez,190,127.512566,63.947388,1.0,136.45926,50.52035,1.0,121.122055,47.962822,1.0,147.96216,56.274796,1.0,113.77299,51.479424,1.0,156.2698,116.696465,1.0,91.086716,115.4177,1.0,173.84367,189.5861,1.0,42.838448,209.40697,1.0,178.95609,251.92592,1.0,55.619442,251.92592,1.0,147.64264,251.92592,1.0,105.46534,251.92592,1.0,145.08643,251.92592,1.0,39.643196,212.60388,1.0,144.44739,251.92592,1.0,99.074844,251.92592,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado10.jpg,ayrton preciado,179,176.84981,58.158726,1.0,186.4346,51.76479,1.0,168.54298,48.56782,1.0,196.3389,62.63448,1.0,155.76324,57.51933,1.0,210.07712,109.62992,1.0,123.17492,96.20265,1.0,233.08066,140.9602,1.0,67.58308,147.67384,1.0,212.95258,208.73593,1.0,99.21292,157.58444,1.0,173.65488,242.3041,1.0,119.97999,245.50108,1.0,172.6964,254.45258,1.0,120.29948,254.45258,1.0,233.08066,135.84506,1.0,105.92228,254.45258,1.0,lower_cut
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado37.jpg,ayrton preciado,179,115.30529,69.118546,1.0,130.9645,55.043106,1.0,105.718025,56.962482,1.0,155.25224,65.599686,1.0,99.006935,63.680305,1.0,189.76642,127.0198,1.0,79.51282,132.13814,1.0,167.07654,200.91585,1.0,53.62719,197.39703,1.0,87.502205,196.75722,1.0,102.52226,196.43733,1.0,146.94328,214.35152,1.0,88.46094,214.35152,1.0,120.4185,214.35152,1.0,44.679077,214.35152,1.0,134.47983,190.67917,1.0,137.99518,189.71948,1.0,malformed
/home/gusohseb@GU.GU.SE/.cache/kagglehub/datasets/soumendraprasad/fifa-2022-all-players-image-dataset/versions/2/Images/Images/Group A/Ecuador Players/Images_Ayrton Preciado/Ayrton Preciado39.jpg,ayrton preciado,179,115.237915,74.97354,1.0,133.77318,61.222866,1.0,104.692,62.502,1.0,164.13266,69.217445,1.0,97.02225,69.217445,1.0,200.56403,128.3773,1.0,73.054245,131.89491,1.0,189.05937,178.58324,1.0,42.694775,184.65913,1.0,100.857124,187.53719,1.0,89.99163,189.1361,1.0,151.98886,204.1659,1.0,83.91973,204.1659,1.0,209.83163,122.62121,1.0,30.870562,204.1659,1.0,110.44432,185.2987,1.0,99.8984,185.2987,1.0,malformed
